rid,date,origin,destination,gbtt_ptd,gbtt_pta,toc_code
202402166728855,2024-02-16,KGX,EDB,1700,2124,GR
202402126728859,2024-02-12,KGX,EDB,1730,2208,GR
202402136728859,2024-02-13,KGX,EDB,1730,2208,GR
202402146728859,2024-02-14,KGX,EDB,1730,2208,GR
202402156728859,2024-02-15,KGX,EDB,1730,2208,GR
202402166728859,2024-02-16,KGX,EDB,1730,2208,GR
202402126728885,2024-02-12,KGX,EDB,1800,2220,GR
202402136728885,2024-02-13,KGX,EDB,1800,2220,GR
202402146728885,2024-02-14,KGX,EDB,1800,2220,GR
202402157926703,2024-02-15,KGX,EDB,1800,2220,GR
202402166728885,2024-02-16,KGX,EDB,1800,2220,GR
202402126728860,2024-02-12,KGX,EDB,1830,2316,GR
202402136728860,2024-02-13,KGX,EDB,1830,2316,GR
202402146728860,2024-02-14,KGX,EDB,1830,2316,GR
202402156728860,2024-02-15,KGX,EDB,1830,2316,GR
202402166728860,2024-02-16,KGX,EDB,1830,2316,GR
202402126728868,2024-02-12,KGX,EDB,1900,2324,GR
202402136728868,2024-02-13,KGX,EDB,1900,2324,GR
202402146728868,2024-02-14,KGX,EDB,1900,2324,GR
202402156728868,2024-02-15,KGX,EDB,1900,2324,GR
202402166728868,2024-02-16,KGX,EDB,1900,2324,GR
202402216728789,2024-02-21,KGX,ABD,1600,2020,GR
202402226728789,2024-02-22,KGX,ABD,1600,2020,GR
202402236728789,2024-02-23,KGX,ABD,1600,2020,GR
202402216728837,2024-02-21,KGX,EDB,1630,2114,GR
202402226728837,2024-02-22,KGX,EDB,1630,2114,GR
202402236728837,2024-02-23,KGX,EDB,1630,2114,GR
202402216728855,2024-02-21,KGX,EDB,1700,2124,GR
202402226728855,2024-02-22,KGX,EDB,1700,2124,GR
202402236728855,2024-02-23,KGX,EDB,1700,2124,GR
202402216728859,2024-02-21,KGX,EDB,1730,2208,GR
202402226728859,2024-02-22,KGX,EDB,1730,2208,GR
202402236728859,2024-02-23,KGX,EDB,1730,2208,GR
202402216728885,2024-02-21,KGX,EDB,1800,2220,GR
